"00 Ganks"	"Ganks"
"001122"	"LOFS"
"007x"	"007x"
"00Gankz"	"Ganks"
"0414"	"Empt2y"
"057"	"057"
"090"	"Xavieles"
"0909"	"0909"
"0hq"	"Ohq"
"0kay"	"0kay"
"0noken"	"0noken"
"0ri"	"Ori"
"1000 Rounds"	"1000 Rounds"
"101"	"Hunter (Zhan Xin)"
"1024"	"1024"
"10q"	"Adrian"
"113"	"113"
"123"	"Kkk1"
"13Ghost"	"13Ghost"
"13GhostSk"	"13Ghost"
"14a"	"Moon (Galen Holgate)"
"17"	"Ss17God"
"1874"	"1874"
"19"	"HongCono"
"1984"	"1984"
"1996Zzr"	"Zzr"
"1998"	"1998"
"1an"	"1an"
"1ann"	"1an"
"1brayle"	"Easy (Brandon Doyle)"
"1bYa"	"1bYAYA"
"1bYAYA"	"1bYAYA"
"1chope"	"1chope"
"1Comander"	"Comander"
"1DarKNess"	"1DarKNess"
"1dt"	"1dt"
"1ee"	"1ee"
"1Ground"	"1Ground"
"1hg"	"Hui"
"1i1ac"	"Lilac (Liu Yi-Chen)"
"1Lee"	"1Lee"
"1mpos"	"1mpos"
"1ntruder"	"1ntruder"
"1onz"	"1onz"
"1roNN"	"IroNN"
"1st time top"	"Fiala"
"1st Time Toplane"	"Fiala"
"1ucid"	"Meech"
"1VS2"	"Yellowman"
"20"	"20"
"2010"	"2020"
"201r3n"	"Zoir"
"2020"	"2020"
"2020 (Cristian Yeneris)"	"2020 (Cristian Yeneris)"
"2188"	"2188"
"228"	"228"
"24"	"24"
"2620 Proletariat"	"Gigashock"
"291"	"Poni"
"2Axes"	"2Axes"
"2Cups"	"2Cups"
"2Egg"	"ZIV (Le Xiao-Tian)"
"2lift"	"Doublelift"
"2Night"	"2Night"
"3 4"	"34"
"300"	"300"
"34"	"34"
"369"	"369"
"3hit"	"1bYAYA"
"3in1warrior"	"3in1warrior"
"3RB"	"BaRoiBeo"
"3z"	"3z"
"3z3"	"3z3"
